Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Nifty Island,https://www.crunchbase.com/organization/nifty-island,,2021-01-01,year,11-50,"Nifty Island is an open social gaming platform and virtual world being developed by Nyft Studios.  It will be the centerpiece and first title in the Nyftverse: a set of interoperable games, an NFT marketplace, play-to-earn protocols, game developer tools and infrastructure — all powered by web3 to realize the dream of a truly open and player-owned metaverse.","Blockchain, Cryptocurrency, Gaming","Sheridan, Wyoming, United States",20000000,USD,20000000,Nifty Island is an open social gaming platform and virtual world powered by web3.,"24,419",2021-10-01,Seed,1,Pre-Seed,20000000,USD,20000000
Metaverse Game Studios,https://www.crunchbase.com/organization/metaverse-game-studios,,2020-01-01,year,11-50,Metaverse Game Studios is a leading blockchain game development studio.,"Blockchain, Gaming","St. Petersburg, Florida, United States",10000000,USD,10000000,Metaverse Game Studios is a leading blockchain game development studio.,"24,421",2022-03-14,,1,Venture - Series Unknown,10000000,USD,10000000
Ceremorphic,https://www.crunchbase.com/organization/ceremorphic,,2020-01-01,year,101-250,"Ceremorphic has built a new architecture that delivers the performance required for next-generation applications such as AI model training, HPC, drug discovery, and metaverse processing.","Artificial Intelligence, Hardware","San Jose, California, United States",50000000,USD,50000000,Ceremorphic provides energy efficient AI supercomputing.,"24,758",2022-01-24,Early Stage Venture,1,Series A,50000000,USD,50000000
Mech,https://www.crunchbase.com/organization/mech,,2021-01-01,year,11-50,Mech is an NFT-based metaverse game that is currently developing their first versions of a match-3 game in which players can earn the in-game currency ore.,"Blockchain, Gaming","Mentor, Ohio, United States",6000000,USD,6000000,Mech is an NFT-based metaverse game developing their first versions of a match-3 game in which players can earn the in-game currency ore.,"24,806",2022-06-27,Seed,1,Seed,6000000,USD,6000000
Launch House,https://www.crunchbase.com/organization/launch-house,,2020-07-25,day,11-50,"Launch House is the social club helping emerging leaders level up and live better. The Launch House community is a curated group of founders, engineers, and investors who are building the future. Community membership includes access to our intimate IRL coliving residencies in major cities, desirable destinations, and at conferences all over the world. Membership also includes executive coaching opportunities, fundraising support, unlimited access to our digital cohort-based courses, and coworking clubhouses in major cities. Launch House helps foster learning and professional development as well as deep, authentic relationships rather than transactional networking opportunities. Selection for the community is through a competitive process, with thousands of applicants per year. Launch House currently has locations in Los Angeles, New York City, and the metaverse.","Communities, Media and Entertainment, Venture Capital","Los Angeles, California, United States",12000000,USD,12000000,"A professional social club for founders, investors, and builders to level up and live better","25,212",2022-02-01,Early Stage Venture,2,Series A,12000000,USD,12000000
Halliday,https://www.crunchbase.com/organization/halliday,,2022-01-01,year,,Halliday is offered Buy gaming and metaverse NFTs and start using them right away.,"Blockchain, Gaming",,6000000,USD,6000000,Halliday is offered Buy gaming and metaverse NFTs and start using them right away.,"25,246",2022-08-04,Seed,1,Seed,6000000,USD,6000000
Tipspace,https://www.crunchbase.com/organization/tipspace,,2021-11-01,day,11-50,"Tipspace allows any gamer to monetize their matches and create new game modes for competitive games. Players can play for money by wagering on their games. The player must pay to participate in the matchmaking, and every match on the platform will have a monetary prize at the end. It provides a gaming platform with cryptocurrencies for Web3, metaverse, blockchain, and NFT-based games.",Gaming,"São Paulo, Sao Paulo, Brazil",3000000,USD,3000000,Tipspace allows to any gamer monetize their matches and create new game modes on competitive games.,"25,353",2022-10-05,Seed,1,Seed,3000000,USD,3000000
Edverse - Education Metaverse Company,https://www.crunchbase.com/organization/edverse,,2022-02-01,day,101-250,"At Edverse, we are revolutionizing the world of education by enabling learning in more natural and realistic virtual spaces in a metaverse.   Our platform is the largest and most immersive virtual education platform, designed as the first step toward building an “education metaverse”. It is a decentralized, collaborative, and interoperable platform that offers numerous opportunities for HRs, professors, teachers, and learners. What do we offer? With immersive virtual environments that are deeply social and crafted to level up engagement, we offer comprehensive learning, teamwork, onboarding, training, and development. With features like 3D modeling, visualization, and incentivized opportunities, we are bringing a new level of engagement and interactive learning to our community of 50,000+ Edversites. Launched in 2022, we have already raised $700,000 in seed funding and are backed by leading venture capital firms. We are building our platform on the world's biggest blockchain technologies, Elysium and Polygon, and partnering with top names in web 3.0 as strategic investors. At Edverse, we believe in aligning and uplifting all four key stakeholders in our metaverse: promoters, educators, creators, and learners. We are proud to host virtual presences for numerous schools, universities, and experts in various fields, and are always looking to expand our reach and democratize education.","E-Learning, Education, Events, Software, Virtual World","Jaipur, Rajasthan, India",700000,USD,700000,We are building virtual immersive shared spaces to level up engagement in learning for corporates and institutions,"25,388",2022-05-06,Seed,1,Pre-Seed,700000,USD,700000
Tally Labs,https://www.crunchbase.com/organization/tally-labs,,2021-01-01,year,,"Tally Labs is build characters, and tools of the metaverse.","Blockchain, Software","Miami, Florida, United States",12000000,USD,12000000,"Tally Labs is build characters, and tools of the metaverse.","25,991",2022-05-18,Seed,1,Seed,12000000,USD,12000000
Auki Labs,https://www.crunchbase.com/organization/auki-labs,,2020-04-01,day,11-50,"We're building advanced peer-to-peer positioning protocols and AR cloud infrastructure to enable a new era of spatial computing:   1) Instant Calibration - Get absolute positioning consensus between multiple devices instantly without physical markers or point cloud comparisons. 2) Share Across Apps - Any app connected to the Aukiverse can see its inhabitants and creations. This interoperability layer is the future of AR. 3) Asset Cloud - Allow interoperability across apps, and smaller executables, by storing and retrieving assets in the Aukiverse. 4) A Firm Hand - Real-time 3D reconstruction of your hands allow you to interact intuitively with a virtual world. 5) Foundational - The Aukiverse protocol is the foundation of the future AR metaverse and spatial computing.","Augmented Reality, Software","Wan Chai, Hong Kong Island, Hong Kong",13000000,USD,13000000,"Auki Labs makes products that allow people to create, own, inhabit and interact with virtual worlds and objects anchored in reality.","26,044",2022-02-28,Seed,3,Seed,13000000,USD,13000000
Battle Infinity,https://www.crunchbase.com/organization/battle-infinity,,2022-07-18,day,11-50,"Battle infinity is a gaming platform where our ecosystem hosts multiple P2E battle games integrated with the Metaverse world called ‘The Battle Arena’. In the Battle Infinity world gamers are not only able to play and battle, but can also enjoy the immersive experience in the Metaverse world. In the Battle Arena, you can interact, perform, watch, explore, and more in a virtual world. Our vision is to revolutionize the traditional world of gaming. Battle Infinity integrates gaming with the metaverse and blockchain, providing a completely decentralized experience that gives users and creators direct ownership of their in-game items in an ecosystem that is completely transparent and tamper-proof. Battle Infinity provides its users with a completely secure and limitless immersive experience.","Blockchain, Cryptocurrency, Gamification, Gaming, Information Technology","Majuro, NA - Marshall Islands, Marshall Islands",4100000,USD,4100000,Battle infinity is a gaming platform where our ecosystem hosts multiple P2E battle games integrated with the Metaverse.,"26,166",2022-08-17,,1,Initial Coin Offering,4100000,USD,4100000
Oorbit,https://www.crunchbase.com/organization/oorbit,,2021-01-01,year,11-50,"Oorbit is a cloud technology company that has built a network of interactive 3D applications for everyone to access on any device including smart TVs. Oorbit's technology simplifies how users enjoy gaming, digital assets and communication through a single platform allowing everyone to build a new digital life and share moments in the metaverse with friends around the world.","Cloud Infrastructure, Gaming, Information Technology, Internet, Video Games, Virtual Reality",,5000000,USD,5000000,The network of interconnected 3D virtual worlds,"26,651",2022-03-17,Seed,1,Seed,5000000,USD,5000000
MetaOne,https://www.crunchbase.com/organization/metaone,,2020-01-01,year,11-50,"MetaOne provides a certainty NFT assets management platform to the gaming metaverse and streamlines onboarding and NFT processes, enabling a sizable gaming community with comprehensive gaming data analytics from games to gamers level. The platform's unified interface facilitates the transition from traditional gaming to the blockchain. It integrates into game architecture to mine relevant data for guild analytics, provides guild management tools, provides asset management to empower stakeholders in generating revenue, and has designed smart contracts for cross-chain investments to be performed safely and transparently.","Blockchain, Cryptocurrency, Gaming","Singapore, Central Region, Singapore",,,,MetaOne offers guild management solutions for GameFi developers.,"26,734",2022-09-15,Seed,3,Pre-Seed,,,
